captured,field_path,fingerprint_participation,outcome_link_participation,plan_identity_participation,required,serialization,stage_trace_participation
true,recommendations[].expected_value.reward_to_risk,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].expected_value.score,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].expected_value.symbol,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].explanation,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].explanation[],true,false,false,true,CANONICAL_JSON,false
true,recommendations[].metadata,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].metadata.historical_setup_edge,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].metadata.source,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].observed_on,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].opportunity_cost,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].opportunity_cost.better_candidates,true,false,false,true,CANONICAL_JSON,false
true,recommendations[].opportunity_cost.candidate_count,true,false,false,true,CANONICAL_JSON,false
